plot,png,svg,description,inputs,filters,hardware
00_campaign_completion,png/00_campaign_completion.png,svg/00_campaign_completion.svg,Expected and successful runs per JSON,results/_campaign_manifest.json,all manifest statuses; failures/skips are not plotted as measurements,NVIDIA GeForce RTX 5060 Ti 16GB
01_synth_material_count_same_class,png/01_synth_material_count_same_class.png,svg/01_synth_material_count_same_class.svg,Synthetic material count with one shared generic class,results/02_synth_material_count_same_class_dense/02_synth_material_count_same_class_dense.csv,success rows; points are mean; error bars are SEM,NVIDIA GeForce RTX 5060 Ti 16GB
02_synth_class_count_fixed_materials,png/02_synth_class_count_fixed_materials.png,svg/02_synth_class_count_fixed_materials.svg,Synthetic class / generic PSO count with 255 materials,results/03_synth_class_count_fixed_materials_dense/03_synth_class_count_fixed_materials_dense.csv,success rows; points are mean; error bars are SEM,NVIDIA GeForce RTX 5060 Ti 16GB
03_synth_locality_response,png/03_synth_locality_response.png,svg/03_synth_locality_response.svg,"Synthetic locality response (255 materials, 64 classes)",results/04_synth_locality_dense/04_synth_locality_dense.csv,success rows; points are mean; error bars are SEM,NVIDIA GeForce RTX 5060 Ti 16GB
04_synth_diversity_response,png/04_synth_diversity_response.png,svg/04_synth_diversity_response.svg,Diversity response at locality 0 and 1,results/05_synth_diversity_dense/05_synth_diversity_dense.csv,success rows; three seed pairs,NVIDIA GeForce RTX 5060 Ti 16GB
05_synth_locality_diversity_phase,png/05_synth_locality_diversity_phase.png,svg/05_synth_locality_diversity_phase.svg,Direct sampled 9×9 phase map with equal-time contour,results/06_synth_locality_diversity_phase_dense/06_synth_locality_diversity_phase_dense.csv,success rows; ratio averaged over two paired seeds,NVIDIA GeForce RTX 5060 Ti 16GB
06_synth_material_class_matrix,png/06_synth_material_class_matrix.png,svg/06_synth_material_class_matrix.svg,Independent material-count and class-count matrix,results/07_synth_material_class_matrix/07_synth_material_class_matrix.csv,success rows; two paired seeds; impossible class>material cells are blank,NVIDIA GeForce RTX 5060 Ti 16GB
07_synth_workload_scaling,png/07_synth_workload_scaling.png,svg/07_synth_workload_scaling.svg,Synthetic workload scaling at three locality levels,results/08_synth_workload_scaling_dense/08_synth_workload_scaling_dense.csv,success rows; points are mean; error bars are SEM,NVIDIA GeForce RTX 5060 Ti 16GB
08_synth_resolution_scaling,png/08_synth_resolution_scaling.png,svg/08_synth_resolution_scaling.svg,Synthetic resolution scaling at three locality levels,results/09_synth_resolution_scaling_dense/09_synth_resolution_scaling_dense.csv,success rows; points are mean; error bars are SEM,NVIDIA GeForce RTX 5060 Ti 16GB
09_synth_seed_robustness,png/09_synth_seed_robustness.png,svg/09_synth_seed_robustness.svg,Per-seed paired results and speed-ratio distribution,results/10_synth_seed_robustness_dense/10_synth_seed_robustness_dense.csv,success rows; 20 paired seeds,NVIDIA GeForce RTX 5060 Ti 16GB
10_synth_srgb_vs_linear_control,png/10_synth_srgb_vs_linear_control.png,svg/10_synth_srgb_vs_linear_control.svg,Synthetic end-to-end sRGB ABI versus linear G-buffer control,results/11_synth_linear_gbuffer_control/11_synth_linear_gbuffer_control.csv,success rows; two paired seeds; error bars are seed std,NVIDIA GeForce RTX 5060 Ti 16GB
11_real_scene_class_count,png/11_real_scene_class_count.png,svg/11_real_scene_class_count.svg,Real-scene generic class / PSO count response,results/12_real_class_count_dense/12_real_class_count_dense.csv,success rows; 600-frame camera prefix; no cross-GPU pooling,NVIDIA GeForce RTX 5060 Ti 16GB
12_real_scene_diversity,png/12_real_scene_diversity.png,svg/12_real_scene_diversity.svg,Real-scene material-class diversity response,results/13_real_diversity_dense/13_real_diversity_dense.csv,success rows; 600-frame camera prefix; no cross-GPU pooling,NVIDIA GeForce RTX 5060 Ti 16GB
13_full_camera_total_statistics,png/13_full_camera_total_statistics.png,svg/13_full_camera_total_statistics.svg,"Average, median, P90, and P99 full-camera totals",results/14_real_full_camera_linear_control/14_real_full_camera_linear_control.csv,success rows; complete camera; sRGB and linear shown separately,NVIDIA GeForce RTX 5060 Ti 16GB
14_full_camera_pass_breakdown_srgb,png/14_full_camera_pass_breakdown_srgb.png,svg/14_full_camera_pass_breakdown_srgb.svg,Execution-order pass breakdown (srgb),results/14_real_full_camera_linear_control/14_real_full_camera_linear_control.csv,success rows; clear operations excluded; pass colors follow execution order,NVIDIA GeForce RTX 5060 Ti 16GB
14_full_camera_pass_breakdown_linear,png/14_full_camera_pass_breakdown_linear.png,svg/14_full_camera_pass_breakdown_linear.svg,Execution-order pass breakdown (linear),results/14_real_full_camera_linear_control/14_real_full_camera_linear_control.csv,success rows; clear operations excluded; pass colors follow execution order,NVIDIA GeForce RTX 5060 Ti 16GB
15_full_camera_scene_comparison,png/15_full_camera_scene_comparison.png,svg/15_full_camera_scene_comparison.svg,Full-camera renderer speed ratio by scene and G-buffer ABI,results/14_real_full_camera_linear_control/14_real_full_camera_linear_control.csv,success rows; full camera,NVIDIA GeForce RTX 5060 Ti 16GB
16_timeline_sponza,png/16_timeline_sponza.png,svg/16_timeline_sponza.svg,Sponza full-camera total and pass timelines,results/14_real_full_camera_linear_control/14_real_full_camera_linear_control_runs/*_result.csv,success rows; sRGB ABI; 60-frame profile windows,NVIDIA GeForce RTX 5060 Ti 16GB
16_timeline_sponza_ivy,png/16_timeline_sponza_ivy.png,svg/16_timeline_sponza_ivy.svg,Sponza Ivy full-camera total and pass timelines,results/14_real_full_camera_linear_control/14_real_full_camera_linear_control_runs/*_result.csv,success rows; sRGB ABI; 60-frame profile windows,NVIDIA GeForce RTX 5060 Ti 16GB
16_timeline_bistro,png/16_timeline_bistro.png,svg/16_timeline_bistro.svg,Bistro full-camera total and pass timelines,results/14_real_full_camera_linear_control/14_real_full_camera_linear_control_runs/*_result.csv,success rows; sRGB ABI; 60-frame profile windows,NVIDIA GeForce RTX 5060 Ti 16GB
17_real_texture_vfc_ablation,png/17_real_texture_vfc_ablation.png,svg/17_real_texture_vfc_ablation.svg,Texture-loading and view-frustum-culling ablation,results/15_real_texture_vfc_ablation/15_real_texture_vfc_ablation.csv,success rows; 600-frame camera prefix,NVIDIA GeForce RTX 5060 Ti 16GB
18_software_raster_scene_summary,png/18_software_raster_scene_summary.png,svg/18_software_raster_scene_summary.svg,"Scene means for triangle, fragment, coverage, overdraw, and quad metrics",results/16_real_software_raster_reference/16_real_software_raster_reference_runs/*_raster_stats.csv,all measured software-raster frames; blank-view zero-coverage frames retained,NVIDIA GeForce RTX 5060 Ti 16GB
19_raster_overdraw_vs_gpu_time,png/19_raster_overdraw_vs_gpu_time.png,svg/19_raster_overdraw_vs_gpu_time.svg,Aligned profile-window overdraw versus renderer total; color is quad efficiency,results/14_real_full_camera_linear_control/*_result.csv; results/16_real_software_raster_reference/*_raster_stats.csv,sRGB full-camera runs; software stats aligned to 60-frame windows,NVIDIA GeForce RTX 5060 Ti 16GB
20_raster_gpu_correlation_overview,png/20_raster_gpu_correlation_overview.png,svg/20_raster_gpu_correlation_overview.svg,Pearson correlation between aligned software-raster metrics and total time,data/19_raster_gpu_correlations.csv,sRGB full-camera runs; 60-frame profile windows,NVIDIA GeForce RTX 5060 Ti 16GB
